id,password,store_name,type,email,phone,database_name
1,pU2}S>3s#uyF`.`8,Trilith,general,jgolightly0@mayoclinic.com,639-690-6558,local_service_provider1.db
2,"eU9(<cZ=vL0w""""q0",Rooxo,general,delcoat1@comsenz.com,936-660-9733,local_service_provider2.db
3,eW7+`>QyS0}*VT,Jaxnation,electric,civanov2@nymag.com,518-629-8203,local_service_provider3.db
4,hN5*@1B47%F?k,Leexo,general,skilligrew3@wunderground.com,188-216-6418,local_service_provider4.db
5,"dA2`SVD,/S(<sb",Kwinu,welder,rbrisbane4@comcast.net,476-281-2247,local_service_provider5.db
6,tP9%krqgY,Yodoo,carpenter,gableson5@washington.edu,106-277-0943,local_service_provider6.db
7,nA5=GTIB.,Browsecat,mechanic,zcarding6@flickr.com,390-686-7022,serviceProvider7.db
8,"xG5<g<vu""g",Oyope,general,vpeniello7@marketwatch.com,141-647-1278,serviceProvider8.db
9,"sE7*$!e,,Do6",Yadel,housekeeper,bwasson8@rediff.com,599-366-7403,serviceProvider9.db
10,kN4'q)ZO'mjF,Plambee,barber,jbodham9@mozilla.org,760-190-8232,serviceProvider10.db
